deal_cid,miner_id,data_cid,payload_cid,filename,size_in_bytes
bafyreibas6pkgpqyktxo5posb6tby4q56cz4r6cfqlxet7u4zbd2rczzlq,f01234,bafykbzacea7h53v7cnsaqrfk2uhh7hk3u54h5cs3csw7tcz3cfs6opejkd6ew,baga6ea4seaqhqktzvbsqru6myoopp24g42drzeligx2qs3kpq2ek5wezwbc36gq,CC-MAIN-2020-50-index.tar.05,34359738368
bafyreibjaxhbh7apygrzjig2m4gs5pvfnik7ldnzvijgl2il5zflfgnmcy,f01234,bafykbzacedaytnksktairtjux2xxqwrlhgzcvrjdsikshtzylhj7w3digbftc,baga6ea4seaqizkhlrmzj5hfw2reb3aajibuigi4x325j7vx65b3jl2ccrsjqioi,CC-MAIN-2020-50-index.tar.03,34359738368
bafyreic6byfamm3l4oanhpptx3hyycbgr24jfikbc6by7iezwpowt564uq,f01234,bafykbzacebwolyis2emwnqzaqsbqb4v42p4gn2no3vncg5lr2oyfjoj6jan2c,baga6ea4seaqdlt47nossi24mkqgpvtklg267c4a4jmnun57yr6e43q6445p2sbi,CC-MAIN-2020-50-index.tar.04,34359738368
bafyreic7gg4j7cca7awz5r4ngbe7rjirsvnqt4klgjr5x562kdhnu5t52m,f01234,bafykbzacedzfnbn5itgi26xh6452xhsmz2slkgfrg7vgrvfvfulg2vw5v54ic,baga6ea4seaqop2hfsljujhkkr3fl4zo5l3gj2qgtcekhrdu6kanbhj34oqx4gfq,CC-MAIN-2020-50-index.tar.00,34359738368
bafyreicwyd2idrejl4j64447qv3bpfy3utslnz7cwmud6nx2rw6qxvsb5u,f01234,bafykbzacecjnuoyfgjqbbpdnefbp27bjdqbn5wr5ukkk77z42c4fh6mzpacbk,baga6ea4seaqbsy33gh7bqadqqgbvuufqlvkvqvoxftpma7jcqgabfz6xin3sgdq,CC-MAIN-2020-50-index.tar.01,34359738368
bafyreid272rmhnbb3pmt2ogqjnadhf6arrg7kfb4f2xwis6arqfsumf54e,f01234,bafykbzacedghnnfmgjfxh5lbikgj5ah2bvtmwrvcpnst537aqq7m337tif2z6,baga6ea4seaqbrrvpglyzkfu52m5wwa7cax63inxgsub47sdyznwvn4qw55s76fi,CC-MAIN-2020-50-index.tar.06,34359738368
bafyreiebfqygdrsx4t7qxc2j7awcqhe7mmcidc3okk5x6nwumubbfkohiq,f01234,bafykbzacedybeh636ljpmhpbjkoovplzuxzl7izmoxweurbzjxv7lgp3hft4y,baga6ea4seaqa5koqupj3odq6jqyvudm3rgzuc23ndg22fivmzqqf4mlickgbwba,CC-MAIN-2020-50-index.tar.02,34359738368
bafyreifw5j2y6ag5565lb6qq5du75kaulusqcyog7eibliit42to4irpy4,f01276,bafykbzacedybeh636ljpmhpbjkoovplzuxzl7izmoxweurbzjxv7lgp3hft4y,baga6ea4seaqa5koqupj3odq6jqyvudm3rgzuc23ndg22fivmzqqf4mlickgbwba,CC-MAIN-2020-50-index.tar.02,34359738368
bafyreih3iyjdl5i23ubx73zwfhgp6ev4ode65gjunctmal7rpyj4iroaeu,f01276,bafykbzacebwolyis2emwnqzaqsbqb4v42p4gn2no3vncg5lr2oyfjoj6jan2c,baga6ea4seaqdlt47nossi24mkqgpvtklg267c4a4jmnun57yr6e43q6445p2sbi,CC-MAIN-2020-50-index.tar.04,34359738368
bafyreickk7yxbud5dkwbzwz3e6i7lpnzodgelvow5ljgwgt4gxfkjn5j4q,f01276,bafykbzacedghnnfmgjfxh5lbikgj5ah2bvtmwrvcpnst537aqq7m337tif2z6,baga6ea4seaqbrrvpglyzkfu52m5wwa7cax63inxgsub47sdyznwvn4qw55s76fi,CC-MAIN-2020-50-index.tar.06,34359738368
bafyreidnkmqpm4j7lgdskdzvajvlhqk7gfcm7xr5p6jd6m4yi4oqfobvz4,f01276,bafykbzacedzfnbn5itgi26xh6452xhsmz2slkgfrg7vgrvfvfulg2vw5v54ic,baga6ea4seaqop2hfsljujhkkr3fl4zo5l3gj2qgtcekhrdu6kanbhj34oqx4gfq,CC-MAIN-2020-50-index.tar.00,34359738368
bafyreifwqblzd7lz3u2fbiquz7i6iwy2lghqs65eazajyvqb3dpeyiaply,f01276,bafykbzacea7h53v7cnsaqrfk2uhh7hk3u54h5cs3csw7tcz3cfs6opejkd6ew,baga6ea4seaqhqktzvbsqru6myoopp24g42drzeligx2qs3kpq2ek5wezwbc36gq,CC-MAIN-2020-50-index.tar.05,34359738368
bafyreifxvf3nbvuwfo2qwl26ddbqy7iyf54psbrpnacdpsqtlbmbojhtfy,f01276,bafykbzacedaytnksktairtjux2xxqwrlhgzcvrjdsikshtzylhj7w3digbftc,baga6ea4seaqizkhlrmzj5hfw2reb3aajibuigi4x325j7vx65b3jl2ccrsjqioi,CC-MAIN-2020-50-index.tar.03,34359738368
bafyreierge64cjsnpbaoi7cavyufptzadrmppnpbb47ifzklb62sdnkhay,f01276,bafykbzacecjnuoyfgjqbbpdnefbp27bjdqbn5wr5ukkk77z42c4fh6mzpacbk,baga6ea4seaqbsy33gh7bqadqqgbvuufqlvkvqvoxftpma7jcqgabfz6xin3sgdq,CC-MAIN-2020-50-index.tar.01,34359738368
bafyreifuw72xphs7xkvd77kh3b2h6ci7ktj6tt4qspw333yccqpklpcrn4,f01278,bafykbzacea7h53v7cnsaqrfk2uhh7hk3u54h5cs3csw7tcz3cfs6opejkd6ew,baga6ea4seaqhqktzvbsqru6myoopp24g42drzeligx2qs3kpq2ek5wezwbc36gq,CC-MAIN-2020-50-index.tar.05,34359738368
bafyreif7kfzlcnx5s5xquirltgdsn2ioox5fdi6izxbxcc35xr6ojsrjhu,f01278,bafykbzacedaytnksktairtjux2xxqwrlhgzcvrjdsikshtzylhj7w3digbftc,baga6ea4seaqizkhlrmzj5hfw2reb3aajibuigi4x325j7vx65b3jl2ccrsjqioi,CC-MAIN-2020-50-index.tar.03,34359738368
bafyreig2ucmix7hj4mriufyghobyaxjdk2nkrlxegrq2pyyme3g5tsa7i4,f01278,bafykbzacedybeh636ljpmhpbjkoovplzuxzl7izmoxweurbzjxv7lgp3hft4y,baga6ea4seaqa5koqupj3odq6jqyvudm3rgzuc23ndg22fivmzqqf4mlickgbwba,CC-MAIN-2020-50-index.tar.02,34359738368
bafyreihlhoddqzwbagcmkfl54h76g35hqurdklrtb57wz3jebnzfngc2ji,f01278,bafykbzacedzfnbn5itgi26xh6452xhsmz2slkgfrg7vgrvfvfulg2vw5v54ic,baga6ea4seaqop2hfsljujhkkr3fl4zo5l3gj2qgtcekhrdu6kanbhj34oqx4gfq,CC-MAIN-2020-50-index.tar.00,34359738368
bafyreihz5x7ijmsghnampj4mxgnqrgzv2v6n2upmdzjjynsaib4wj5rxc4,f01278,bafykbzacecjnuoyfgjqbbpdnefbp27bjdqbn5wr5ukkk77z42c4fh6mzpacbk,baga6ea4seaqbsy33gh7bqadqqgbvuufqlvkvqvoxftpma7jcqgabfz6xin3sgdq,CC-MAIN-2020-50-index.tar.01,34359738368
bafyreiamq23hfrowh42bkpne3gzdnh63jw6vezhjr7vfg42odsyj27a6uy,f01278,bafykbzacedghnnfmgjfxh5lbikgj5ah2bvtmwrvcpnst537aqq7m337tif2z6,baga6ea4seaqbrrvpglyzkfu52m5wwa7cax63inxgsub47sdyznwvn4qw55s76fi,CC-MAIN-2020-50-index.tar.06,34359738368
bafyreib757ky2q3wee236mf7cyg7ii6fd7ltrrnyxwznsut6em6vkfm6p4,f01278,bafykbzacebwolyis2emwnqzaqsbqb4v42p4gn2no3vncg5lr2oyfjoj6jan2c,baga6ea4seaqdlt47nossi24mkqgpvtklg267c4a4jmnun57yr6e43q6445p2sbi,CC-MAIN-2020-50-index.tar.04,34359738368
bafyreifqyfjjsq5qmmsf63zutwagwkp4wxssoitui3scekv4uxm6ygsvk4,f023467,bafykbzacecjnuoyfgjqbbpdnefbp27bjdqbn5wr5ukkk77z42c4fh6mzpacbk,baga6ea4seaqbsy33gh7bqadqqgbvuufqlvkvqvoxftpma7jcqgabfz6xin3sgdq,CC-MAIN-2020-50-index.tar.01,34359738368
bafyreifjj7roaxrxpoh5lorbiv6h36vvri37sso62qvr7tdouyqrd535hq,f023467,bafykbzacea7h53v7cnsaqrfk2uhh7hk3u54h5cs3csw7tcz3cfs6opejkd6ew,baga6ea4seaqhqktzvbsqru6myoopp24g42drzeligx2qs3kpq2ek5wezwbc36gq,CC-MAIN-2020-50-index.tar.05,34359738368
bafyreieyp2ptqkckedt7mfjrsfkrrl25rq5ss3ulffrf5sk25reoc73x64,f023467,bafykbzacebwolyis2emwnqzaqsbqb4v42p4gn2no3vncg5lr2oyfjoj6jan2c,baga6ea4seaqdlt47nossi24mkqgpvtklg267c4a4jmnun57yr6e43q6445p2sbi,CC-MAIN-2020-50-index.tar.04,34359738368
bafyreifxqn262rumniv6f7ofbjsbcuecxxjro5r7h4rkifzzgemsh6vvle,f023467,bafykbzacedzfnbn5itgi26xh6452xhsmz2slkgfrg7vgrvfvfulg2vw5v54ic,baga6ea4seaqop2hfsljujhkkr3fl4zo5l3gj2qgtcekhrdu6kanbhj34oqx4gfq,CC-MAIN-2020-50-index.tar.00,34359738368
bafyreigkfj5eg6irbjp6buzakpilpefeujyc5326j3wfr6bpth4lsf5cja,f023467,bafykbzacedghnnfmgjfxh5lbikgj5ah2bvtmwrvcpnst537aqq7m337tif2z6,baga6ea4seaqbrrvpglyzkfu52m5wwa7cax63inxgsub47sdyznwvn4qw55s76fi,CC-MAIN-2020-50-index.tar.06,34359738368
bafyreibiipi5x4cjugb5vpmo2dxd7p7535tjrxbvdkx32ptn2kspubrgxm,f023467,bafykbzacedaytnksktairtjux2xxqwrlhgzcvrjdsikshtzylhj7w3digbftc,baga6ea4seaqizkhlrmzj5hfw2reb3aajibuigi4x325j7vx65b3jl2ccrsjqioi,CC-MAIN-2020-50-index.tar.03,34359738368
bafyreiawjstrcrghczb24f7nx2g3tqt57cyjol6xcf2glecc4irxacvtai,f023467,bafykbzacedybeh636ljpmhpbjkoovplzuxzl7izmoxweurbzjxv7lgp3hft4y,baga6ea4seaqa5koqupj3odq6jqyvudm3rgzuc23ndg22fivmzqqf4mlickgbwba,CC-MAIN-2020-50-index.tar.02,34359738368
bafyreifnppeqq2iyveisesvf56xohsbeu2vpi4u4dzqvnywx4rbjsrcj6q,f062353,bafykbzacedaytnksktairtjux2xxqwrlhgzcvrjdsikshtzylhj7w3digbftc,baga6ea4seaqizkhlrmzj5hfw2reb3aajibuigi4x325j7vx65b3jl2ccrsjqioi,CC-MAIN-2020-50-index.tar.03,34359738368
bafyreifqmdcuay4vpterwykubaveoo7uklokejlis6k7ec4tagjkohv7fy,f062353,bafykbzacedzfnbn5itgi26xh6452xhsmz2slkgfrg7vgrvfvfulg2vw5v54ic,baga6ea4seaqop2hfsljujhkkr3fl4zo5l3gj2qgtcekhrdu6kanbhj34oqx4gfq,CC-MAIN-2020-50-index.tar.00,34359738368
bafyreie4niwgfborn7fswplzlxkb4duxkror3ndpo2zz5jl7wqv7e37dvq,f062353,bafykbzacecjnuoyfgjqbbpdnefbp27bjdqbn5wr5ukkk77z42c4fh6mzpacbk,baga6ea4seaqbsy33gh7bqadqqgbvuufqlvkvqvoxftpma7jcqgabfz6xin3sgdq,CC-MAIN-2020-50-index.tar.01,34359738368
bafyreidoztjqat2xbk7xgekmqbbui4gl6mpsb55yspprpzj74jmsjvvtjq,f062353,bafykbzacebwolyis2emwnqzaqsbqb4v42p4gn2no3vncg5lr2oyfjoj6jan2c,baga6ea4seaqdlt47nossi24mkqgpvtklg267c4a4jmnun57yr6e43q6445p2sbi,CC-MAIN-2020-50-index.tar.04,34359738368
bafyreih2o3rohhtz2frldjlyyigtqhzuv76s2owvsufgjsa2o2bqorar3q,f062353,bafykbzacedghnnfmgjfxh5lbikgj5ah2bvtmwrvcpnst537aqq7m337tif2z6,baga6ea4seaqbrrvpglyzkfu52m5wwa7cax63inxgsub47sdyznwvn4qw55s76fi,CC-MAIN-2020-50-index.tar.06,34359738368
bafyreih42jvgesdrtlpfdzuhwnepycdciysbnikpzmtxcnjnopta3b7ljq,f062353,bafykbzacea7h53v7cnsaqrfk2uhh7hk3u54h5cs3csw7tcz3cfs6opejkd6ew,baga6ea4seaqhqktzvbsqru6myoopp24g42drzeligx2qs3kpq2ek5wezwbc36gq,CC-MAIN-2020-50-index.tar.05,34359738368
bafyreiheo2majb2mchr2npuhwlcvccgqq6hojt6bcebdzqnucsyoq673ri,f062353,bafykbzacedybeh636ljpmhpbjkoovplzuxzl7izmoxweurbzjxv7lgp3hft4y,baga6ea4seaqa5koqupj3odq6jqyvudm3rgzuc23ndg22fivmzqqf4mlickgbwba,CC-MAIN-2020-50-index.tar.02,34359738368